gene_id,gene_symbol,half_life_h,cell_line,source,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
ARCN1,ARCN1,2.5755604019185,K562,Schofield2018_TimeLapseseq,,,,unmapped
AREL1,AREL1,1.94110836771682,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARF1,ARF1,4.20551970388908,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARF6,ARF6,0.441440050255216,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARFGAP1,ARFGAP1,1.69059425420114,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARFGAP2,ARFGAP2,2.38253517177271,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARFGEF1,ARFGEF1,2.03629416700979,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARFGEF2,ARFGEF2,1.29869948008089,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARFIP2,ARFIP2,2.13928503416547,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARFRP1,ARFRP1,1.34155464637063,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARGLU1,ARGLU1,0.900050949222611,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP1,ARHGAP1,1.23260000743803,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP11A,ARHGAP11A,0.796782880764618,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP11B,ARHGAP11B,0.516379737958816,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP12,ARHGAP12,0.927634157252347,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP17,ARHGAP17,1.66973578526585,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP18,ARHGAP18,1.85469397272989,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP21,ARHGAP21,1.18639316976886,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP22,ARHGAP22,1.13469961785043,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP24,ARHGAP24,0.486282128897041,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP35,ARHGAP35,0.887646994294449,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP5,ARHGAP5,1.14501546867237,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGAP6,ARHGAP6,1.53213592258879,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGDIA,ARHGDIA,3.64873831020883,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGEF1,ARHGEF1,2.30179148151017,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGEF11,ARHGEF11,0.549322446258031,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGEF12,ARHGEF12,4.63829897254471,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGEF2,ARHGEF2,0.730765684393983,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARHGEF7,ARHGEF7,0.644342761104371,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARID1A,ARID1A,0.454716694379958,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARID1B,ARID1B,1.25797351727196,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARID2,ARID2,0.741146443350525,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARID3A,ARID3A,1.54176802628156,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARID3B,ARID3B,1.2153280146629,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARID4B,ARID4B,0.517500315743421,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARIH1,ARIH1,1.58628149488232,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARIH2,ARIH2,3.48358691354941,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARL13B,ARL13B,0.498573189319876,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARL14EP,ARL14EP,0.410111477694618,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARL15,ARL15,1.32717157001381,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARL4A,ARL4A,0.27031055055817,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARL5B,ARL5B,0.371539105318404,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARL8B,ARL8B,2.69892654793692,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARMC1,ARMC1,1.01920493995543,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARMC6,ARMC6,2.30631698256566,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARMC8,ARMC8,0.642541562236557,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARNT,ARNT,2.53432542062242,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARPC5L,ARPC5L,1.3071885396867,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARPP19,ARPP19,1.39767039104937,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARRB1,ARRB1,2.00503339303655,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARRDC2,ARRDC2,0.5851155429644,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARRDC3,ARRDC3,0.301484050913679,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARVCF,ARVCF,1.59127061676786,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASAP1,ASAP1,1.02850155765897,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASB1,ASB1,0.807680789780598,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASB7,ASB7,0.308897439139066,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASB8,ASB8,0.724004682362283,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASCC1,ASCC1,3.84066538440548,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASCC2,ASCC2,2.77373172851194,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASCC3,ASCC3,2.78014087380205,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASF1A,ASF1A,1.04940250724987,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASF1B,ASF1B,1.39304613786555,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASH1L,ASH1L,0.619475125038891,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASH2L,ASH2L,4.05985491380412,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASIC4,ASIC4,0.85561705396734,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASNA1,ASNA1,1.86511213761566,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASNSD1,ASNSD1,1.02574996616562,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASPH,ASPH,2.33366214551868,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASPM,ASPM,2.70161705341246,K562,Schofield2018_TimeLapseseq,,,,unmapped
ASXL1,ASXL1,0.679998578265616,K562,Schofield2018_TimeLapseseq,,,,unmapped
