gene_id,gene_symbol,half_life_h,cell_line,source
Banp,Banp,2.87051596867122,mESC,Herzog2017_SLAMseq
Baz1b,Baz1b,2.21170603412771,mESC,Herzog2017_SLAMseq
Baz2a,Baz2a,3.81030187876718,mESC,Herzog2017_SLAMseq
Bbc3,Bbc3,2.49584619394892,mESC,Herzog2017_SLAMseq
BC003965,BC003965,3.35734667855534,mESC,Herzog2017_SLAMseq
BC005537,BC005537,2.99960357805593,mESC,Herzog2017_SLAMseq
BC030867,BC030867,2.49339102505737,mESC,Herzog2017_SLAMseq
BC031181,BC031181,4.36873608737146,mESC,Herzog2017_SLAMseq
BC052040,BC052040,4.76491867543623,mESC,Herzog2017_SLAMseq
Bcas2,Bcas2,5.96331286128967,mESC,Herzog2017_SLAMseq
Bcat2,Bcat2,5.02068887582333,mESC,Herzog2017_SLAMseq
Bccip,Bccip,6.78690080888725,mESC,Herzog2017_SLAMseq
Bckdhb,Bckdhb,9.74296295295241,mESC,Herzog2017_SLAMseq
Bckdk,Bckdk,7.29960078491498,mESC,Herzog2017_SLAMseq
Bcl10,Bcl10,3.11531067268488,mESC,Herzog2017_SLAMseq
Bcl9l,Bcl9l,1.54276947392441,mESC,Herzog2017_SLAMseq
Bclaf1,Bclaf1,3.09831304490988,mESC,Herzog2017_SLAMseq
Bclaf1,Bclaf1,3.75828789239473,mESC,Herzog2017_SLAMseq
Bex3,Bex3,6.09060846393259,mESC,Herzog2017_SLAMseq
Bex4,Bex4,5.54206782063128,mESC,Herzog2017_SLAMseq
Bfar,Bfar,2.01553483309351,mESC,Herzog2017_SLAMseq
Bfar,Bfar,3.33224160984113,mESC,Herzog2017_SLAMseq
Bhlhb9,Bhlhb9,4.89143203871275,mESC,Herzog2017_SLAMseq
Birc5,Birc5,4.43716649298728,mESC,Herzog2017_SLAMseq
Birc6,Birc6,3.04680567316076,mESC,Herzog2017_SLAMseq
Birc6,Birc6,3.26051469512303,mESC,Herzog2017_SLAMseq
Bivm,Bivm,2.54825235615603,mESC,Herzog2017_SLAMseq
Blmh,Blmh,5.97660597843929,mESC,Herzog2017_SLAMseq
Bnip2,Bnip2,2.5977093274678,mESC,Herzog2017_SLAMseq
Bola2,Bola2,7.15569682424686,mESC,Herzog2017_SLAMseq
Bora,Bora,2.16508490597181,mESC,Herzog2017_SLAMseq
Borcs5,Borcs5,1.57413051221017,mESC,Herzog2017_SLAMseq
Borcs6,Borcs6,2.61585067257971,mESC,Herzog2017_SLAMseq
Borcs8,Borcs8,4.22694070028839,mESC,Herzog2017_SLAMseq
Bpgm,Bpgm,3.45607138031052,mESC,Herzog2017_SLAMseq
Bpnt1,Bpnt1,4.73556438370082,mESC,Herzog2017_SLAMseq
Brca2,Brca2,2.71457799698063,mESC,Herzog2017_SLAMseq
Bre,Bre,5.73340049011517,mESC,Herzog2017_SLAMseq
Bri3,Bri3,4.38853057669168,mESC,Herzog2017_SLAMseq
